filename,width,height,class,xmin,ymin,xmax,ymax
011738cb4767a569cd6f64ac7baec38a--illustration-tutorial-illustration-vector_jpg.rf.00d859a6330fd66496fb37f16f294e58.jpg,416,416,fire,85,0,270,343
arctic-landscape-photo-juho-uutela-campfire_jpg.rf.002dad784b17a6676b6604cc55764164.jpg,416,416,fire,305,54,408,244
075afe19f81f4808aa405bf4590bab5c_jpg.rf.00dc6867a0364f7c29943049b17aa797.jpg,416,416,fire,0,175,299,341
5a4d25322bf4b925d9c9b8b1e0f04a16_jpg.rf.00b83676e8c4393d7561aceb249b6029.jpg,416,416,fire,52,143,251,399
5a4d25322bf4b925d9c9b8b1e0f04a16_jpg.rf.00b83676e8c4393d7561aceb249b6029.jpg,416,416,fire,35,37,149,155
81cb9a9a8b76a8ef094f4c94e410efc9_jpg.rf.0192c8564344e005458d44c4e8e073dd.jpg,416,416,fire,15,198,142,260
GTY-Trump_Election-Protest15-Lady-Gaga-MEM-161110_25x16_1600_jpg.rf.00a282cc39913e8090251912028df1ff.jpg,416,416,smoke,103,0,304,288
GTY-Trump_Election-Protest15-Lady-Gaga-MEM-161110_25x16_1600_jpg.rf.00a282cc39913e8090251912028df1ff.jpg,416,416,fire,194,219,231,283

283877d789210430dba5373ef5798b34_jpg.rf.02dfa7e644414ee7c020bfedeb74d20e.jpg,416,416,fire,131,35,318,350
283877d789210430dba5373ef5798b34_jpg.rf.02dfa7e644414ee7c020bfedeb74d20e.jpg,416,416,smoke,119,160,197,285
E0pmVE8WUAIJQS9_jpg.rf.00422f3d1d71df813f4d83536beaa2c0.jpg,416,416,fire,125,302,177,366
E0pmVE8WUAIJQS9_jpg.rf.00422f3d1d71df813f4d83536beaa2c0.jpg,416,416,fire,203,171,274,298
E0pmVE8WUAIJQS9_jpg.rf.00422f3d1d71df813f4d83536beaa2c0.jpg,416,416,fire,131,119,198,257
campfire-on-lake-Island_jpg.rf.02e639e6b069e2a64d92046f83c7900a.jpg,416,416,fire,75,209,227,283
2FA5F99000000578-0-Local_residents_said_they_could_hear_popping_sounds_and_explosio-a-103_1451322015761_jpg.rf.01510269540ab008bf7cf7c0fdbe95d6.jpg,416,416,smoke,0,0,336,279
2FA5F99000000578-0-Local_residents_said_they_could_hear_popping_sounds_and_explosio-a-103_1451322015761_jpg.rf.01510269540ab008bf7cf7c0fdbe95d6.jpg,416,416,fire,179,245,338,322
Phosphine-594_jpg.rf.01bc572d9b322ec60d1850e13e1b3fab.jpg,416,416,fire,175,53,232,290
b25lY21zOmQzOTdkMzUwLTZkYjItNGQ4MC1iNWNkLTRmMzAyYWRjM2IxNzpkOWY4MmM2ZS0zNWQ2LTRkN2EtOTY1My01YWNlZTFmNWRkYWM-_jpg.rf.030c08b704ae6a7e9f8310bfebf09fdb.jpg,416,416,fire,36,50,85,155
